拆分：{⺁} [px]	⺁
拆分：土厄 [te]	𲘴
拆分：土长 [ti]	𲘵
拆分：土丑 [ti]	𲘷
拆分：土干 [tg]	𲘸
拆分：土右 [ty]	𲘹
拆分：鸟土 [nt] | 土鸟 [tn]	𲘻
拆分：土代 [td]	𲘽
拆分：土冖 [tb] | 丶土 [dt]	𲘿
拆分：土土 [tt]	𲙀
拆分：土工 [tg]	𲙁
拆分：土了 [tl]	𲙃
拆分：土舌 [tu]	𲙅
拆分：不地 [bd]	𲙇
拆分：土巾 [tj]	𲙈
拆分：土水 [tu]	𲙊
拆分：地元 [dy]	𲙍
拆分：土斩 [tv]	𲙏
拆分：土黾 [tm]	𲙖
拆分：土叔 [tu] | 叔土 [ut]	𲙗
拆分：土且 [tq]	𲙙
拆分：土贲 [tb]	𲙟
拆分：土奎 [tk]	𲙠
拆分：土亟 [tj]	𲙡
拆分：土贵 [tg]	𲙢
拆分：土品 [tp]	𲙣
拆分：土星 [tx]	𲙥
拆分：土客 [tk]	𲙪
拆分：土晋 [tj]	𲙫
拆分：土峯 [tf]	𲙬
拆分：坐丿 [zp]	𲙭
拆分：土窊 [tw]	𲙯
拆分：土月 [to]	𲙰
拆分：土丶 [td]	𲙱
拆分：土教 [tj]	𲙲
拆分：土回 [th]	𲙳
拆分：土婴 [ty]	𲙴
拆分：土攵 [tw]	𲙵
拆分：虫土 [it]	𲙶
拆分：土動 [td]	𲙺
拆分：土宽 [tk]	𲙻
拆分：断土 [dt] | 土断 [td]	𲙼
拆分：阝土 [et] | 土昇 [tu]	𲚀
拆分：土晏 [ty]	𲚂
拆分：土都 [td]	𲚃
拆分：土棧 [tv]	𲚄
拆分：土鲁 [tl]	𲚈
拆分：土富 [tf]	𲚉
拆分：土董 [td]	𲚊
拆分：土黑 [th]	𲚋
拆分：豕土 [ut] | 土艮 [tg]	𲚌
拆分：奚圭 [xg]	𲚑
拆分：土粤 [ty]	𲚒
拆分：土肅 [ts]	𲚔
拆分：土廖 [tl]	𲚚
拆分：氵土 [dt] | 土戚 [tq]	𲚛
拆分：甘土 [gt] | 土犬 [tq]	𲚜
拆分：土鋪 [tp] | 鋪土 [pt]	𲚝
拆分：土燕 [ty]	𲚟
拆分：足土 [zt] | 土豕 [tu]	𲚠
拆分：土各 [tg] | 害土 [ht]	𲚢
拆分：衣土 [yt] | 土八 [tb]	𲚣
拆分：土營 [ty]	𲚦
拆分：⺄夂 [yw]	𲚯
拆分：夕亏 [xk]	𲚰
拆分：夕巴 [xb]	𲚲
拆分：夕三 [xs] | 人夕 [rx]	𲚳
拆分：多才 [dc]	𲚴
拆分：多有 [dy]	𲚷
拆分：甚多 [ud]	𲚸
拆分：多禀 [db]	𲚺
拆分：大日 [do]	𲚽
拆分：大日 [do]	𲚾
拆分：天本 [tb]	𲚿
拆分：大亨 [dh]	𲛁
拆分：大枝 [dv] | 枝大 [vd]	𲛂
拆分：從大 [cd] | 大從 [dc]	𲛇
拆分：大冖 [db] | 臼大 [jd]	𲛉
拆分：女充 [ni]	𲛊
拆分：女另 [nl]	𲛌
拆分：女又 [ny]	𲛍
拆分：巴女 [bn] | 女三 [ns]	𲛑
拆分：女戔 [nj]	𲛒
拆分：女且 [nq]	𲛓
拆分：女尚 [nu] | 尚女 [un]	𲛔
拆分：女受 [nu]	𲛖
拆分：女乖 [ng]	𲛗
拆分：女泥 [nn]	𲛘
拆分：女房 [nf]	𲛙
拆分：女亟 [nj]	𲛜
拆分：女厘 [nl]	𲛝
拆分：女𠃊 [na]	𲛞
拆分：女客 [nk]	𲛟
拆分：女宦 [nh]	𲛠
拆分：女举 [nj]	𲛡
拆分：女目 [no] | 目女 [on]	𲛣
拆分：女卿 [nq]	𲛤
拆分：女畝 [nm]	𲛥
拆分：女能 [nn]	𲛧
拆分：女娶 [nq]	𲛨
拆分：女研 [ny]	𲛩
拆分：女頃 [nq]	𲛪
拆分：女困 [nk]	𲛫
拆分：女問 [nw]	𲛬
拆分：女淑 [nu]	𲛭
拆分：未女 [wn] | 女成 [ni]	𲛮
拆分：女頁 [ny]	𲛯
拆分：女悲 [nb]	𲛰
拆分：女示 [nu]	𲛱
拆分：女令 [nl]	𲛲
拆分：女夊 [nw]	𲛳
拆分：女閩 [nm]	𲛶
拆分：女熹 [nx]	𲛷
拆分：女蕃 [nf]	𲛸
拆分：女男 [nn]	𲛻
拆分：子丿 [zp]	𲛾
拆分：存昆 [ck]	𲜂
拆分：孚甫 [ff]	𲜃
拆分：孚使 [fu]	𲜄
拆分：子蜚 [zf]	𲜈
拆分：宀才 [bc]	𲜉
拆分：宀彡 [bp]	𲜊
拆分：宀户 [bh]	𲜋
拆分：宀央 [by]	𲜌
拆分：宀一 [ba]	𲜍
拆分：宁宁 [nn]	𲜎
拆分：宀心 [bx]	𲜏
拆分：宀咸 [bx]	𲜐
拆分：守字 [uz]	𲜑
拆分：宗内 [zn]	𲜒
拆分：守守 [uu]	𲜓
拆分：宀总 [bz]	𲜔
拆分：宀晤 [bw]	𲜖
拆分：宀心 [bx]	𲜗
拆分：宀鹿 [bl]	𲜘
拆分：宜宜 [yy]	𲜚
拆分：害利 [hl]	𲜛
拆分：宀鴦 [by]	𲜜
拆分：寸罒 [cs] | 罒寸 [sc]	𲜠
拆分：宀寸 [bc] | 寸元 [cy]	𲜡
拆分：寸口 [ck] | 十寸 [uc]	𲜢
拆分：寸首 [cu] | 首寸 [uc]	𲜣
拆分：寸豆 [cd] | 爫寸 [vc]	𲜤
拆分：寸長 [ci] | 冖寸 [bc]	𲜥
拆分：尋未 [xw]	𲜦
拆分：寺厨 [si]	𲜧
拆分：至少 [vu]	𲜩
拆分：幻京 [hj]	𲜯
拆分：尸元 [uy]	𲜳
拆分：尺三 [is]	𲜴
拆分：尸可 [uk]	𲜵
拆分：尸充 [ui]	𲜷
拆分：尸毛 [um]	𲜸
拆分：尸扁 [ub]	𲜻
拆分：尿夫 [nf] | 尸夫 [uf]	𲜼
拆分：尸肉 [ur]	𲜿
拆分：山八 [ub]	𲝃
拆分：山亏 [uk]	𲝄
拆分：山仄 [uz]	𲝅
拆分：山不 [ub]	𲝆
拆分：山卜 [ub]	𲝇
拆分：山仓 [uc]	𲝈
拆分：山瓜 [ug]	𲝋
拆分：山册 [uc]	𲝌
拆分：山白 [ub] | 白山 [bu]	𲝍
拆分：山永 [uy]	𲝎
拆分：山皮 [up]	𲝐
拆分：山旨 [uv]	𲝑
拆分：山耳 [ue]	𲝒
拆分：山地 [ud]	𲝓
拆分：山光 [ug]	𲝕
拆分：山尖 [uj]	𲝖
拆分：山任 [ur]	𲝗
拆分：山伏 [uf]	𲝘
拆分：好山 [hu] | 山好 [uh]	𲝚
拆分：山赤 [ui]	𲝛
拆分：山妻 [uq]	𲝟
拆分：山長 [ui]	𲝡
拆分：山罔 [uw]	𲝥
拆分：山昂 [ua]	𲝦
拆分：山阿 [ua]	𲝬
拆分：屾屾 [uu]	𲝯
拆分：山負 [uf]	𲝰
拆分：山癸 [ug]	𲝲
拆分：山侖 [ul]	𲝷
拆分：山兜 [ud]	𲝻
拆分：山祭 [uj]	𲝼
拆分：山瓶 [up]	𲝾
拆分：山雲 [uy]	𲞁
拆分：山登 [ud]	𲞆
拆分：山員 [uy]	𲞇
拆分：山粲 [uc]	𲞉
拆分：山筮 [uu]	𲞊
拆分：山蓉 [ur]	𲞌
拆分：山槃 [up]	𲞍
拆分：山夐 [ux]	𲞎
拆分：山磊 [ul] | 磊山 [lu]	𲞐
拆分：山徵 [uv]	𲞑
拆分：山衝 [ui]	𲞒
拆分：山瑩 [uy]	𲞓
拆分：山層 [uc]	𲞕
拆分：山干 [ug]	𲞗
拆分：山興 [ux]	𲞘
拆分：山興 [ux]	𲞙
拆分：𡿨宁 [an]	𲞜
拆分：工从 [gc] | 从工 [cg]	𲞝
拆分：工𠃍 [ga] | 土巨 [tj]	𲞢
拆分：巴巴 [bb]	𲞩
拆分：改寄 [gj]	𲞬
拆分：巾元 [jy]	𲞭
拆分：巾金 [jj]	𲞯
拆分：巾欣 [jx]	𲞰
拆分：巾复 [jf]	𲞲
拆分：巾馬 [jm]	𲞴
拆分：巾務 [jw] | 務巾 [wj]	𲞶
拆分：巾卓 [jv]	𲞷
拆分：丶平 [dp]	𲞹
拆分：干艮 [gg]	𲞻
拆分：广夫 [gf]	𲟀
拆分：广廿 [gc]	𲟁
拆分：广卬 [ga]	𲟂
拆分：广未 [gw]	𲟃
拆分：广古 [gg]	𲟄
拆分：广邑 [gy]	𲟅
拆分：广辛 [gx]	𲟆
拆分：广季 [gj]	𲟇
拆分：广奄 [gy]	𲟉
拆分：广心 [gx]	𲟊
拆分：广貝 [gb]	𲟋
拆分：广貝 [gb]	𲟌
拆分：应羌 [yq]	𲟍
拆分：广夂 [gw]	𲟏
拆分：广子 [gz] | 子辛 [zx]	𲟐
拆分：广辰 [gi]	𲟑
拆分：廴月 [zo]	𲟓
拆分：廴區 [zq]	𲟔
拆分：廴萑 [zh]	𲟕
拆分：廴禺 [zy]	𲟖
拆分：王廾 [wc] | 廾王 [cw]	𲟗
拆分：弯可 [wk]	𲟙
拆分：丿彡 [pp] | 彡冂 [pk]	𲟝
拆分：彳七 [xq]	𲟠
拆分：彳云 [xy]	𲟡
拆分：彳待 [xd]	𲟥
拆分：彳止 [xv]	𲟦
拆分：彳衣 [xy]	𲟪
拆分：彳欠 [xq]	𲟫
拆分：彼其 [bq]	𲟬
拆分：彳厭 [xy]	𲟭
拆分：彳鄭 [xv]	𲟮
拆分：彳攵 [xw]	𲟯
拆分：心井 [xj]	𲟱
拆分：毛心 [mx] | 心毛 [xm]	𲟲
拆分：心火 [xh]	𲟳
拆分：心仔 [xz]	𲟷
拆分：存心 [cx] | 心存 [xc]	𲟸
拆分：心而 [xe]	𲟹
拆分：朱心 [vx] | 心朱 [xv]	𲟺
拆分：先心 [xx]	𲟻
拆分：血心 [xx]	𲟽
拆分：论心 [lx] | 心论 [xl]	𲟿
拆分：心我 [xw] | 我心 [wx]	𲠃
拆分：心帛 [xb]	𲠈
拆分：心占 [xv] | 宀心 [bx]	𲠋
拆分：女心 [nx] | 心尔 [xe]	𲠍
拆分：忄勉 [xm]	𲠑
拆分：丷心 [bx] | 心反 [xf]	𲠒
拆分：忄屋 [xw]	𲠓
拆分：心欠 [xq] | 吉心 [jx]	𲠕
拆分：火心 [hx] | 心日 [xo]	𲠙
拆分：記心 [jx] | 心記 [xj]	𲠚
拆分：怠丙 [db]	𲠛
拆分：忄欠 [xq]	𲠜
拆分：心攵 [xw] | 来心 [lx]	𲠝
拆分：心𱑏 [xj] | 心𰀁 [xf]	𲠞
拆分：心竟 [xj]	𲠠
拆分：忄超 [xi]	𲠢
拆分：忄雅 [xy]	𲠣
拆分：心貝 [xb]	𲠦
拆分：中心 [vx] | 心心 [xx]	𲠧
拆分：忄粤 [xy]	𲠩
拆分：忄阑 [xl]	𲠫
拆分：忄盞 [xv]	𲠯
拆分：忄盟 [xm]	𲠲
拆分：心虞 [xy]	𲠳
拆分：育思 [ys]	𲠷
拆分：忄舌 [xu]	𲠺
拆分：卝心 [cx]	𲠻
拆分：心攵 [xw] | 爽心 [ux]	𲠽
拆分：心欠 [xq] | 爽心 [ux]	𲠾
拆分：心攵 [xw] | 婁心 [lx]	𲠿
拆分：忄誾 [xy]	𲡀
拆分：倍急 [bj]	𲡁
拆分：論心 [lx] | 心論 [xl]	𲡂
拆分：愛免 [am]	𲡅
拆分：心貢 [xg] | 車心 [ix]	𲡆
拆分：心夂 [xw] | 愚夂 [yw]	𲡉
拆分：忄壘 [xl]	𲡊
拆分：忄禾 [xh]	𲡋
拆分：忄籌 [xi]	𲡍
拆分：戈春 [gi] | 春戈 [ig]	𲡐
拆分：豈戈 [qg] | 戈豈 [gq]	𲡒
拆分：戈舛 [gi] | 戒舛 [ji]	𲡔
拆分：蓁戒 [vj]	𲡕
拆分：扌川 [fi]	𲡙
拆分：扌历 [fl]	𲡚
拆分：切手 [qu] | 手切 [uq]	𲡛
拆分：扌五 [fw]	𲡜
拆分：扌贝 [fb]	𲡝
拆分：扌见 [fj]	𲡞
拆分：手孔 [uk] | 孔手 [ku]	𲡟
拆分：扌卉 [fh]	𲡠
拆分：扌厉 [fl]	𲡡
拆分：扌囚 [fq]	𲡢
拆分：扌生 [fu]	𲡣
拆分：手他 [ut] | 他手 [tu]	𲡤
拆分：丿夸 [pk]	𲡨
拆分：扌地 [fd]	𲡩
拆分：扌一 [fa]	𲡪
拆分：手论 [ul] | 论手 [lu]	𲡬
拆分：去手 [qu] | 手冖 [ub]	𲡰
拆分：扌女 [fn]	𲡱
拆分：扌间 [fj]	𲡵
拆分：扌开 [fk]	𲡷
拆分：扌阶 [fj]	𲡸
拆分：扌往 [fw]	𲡹
拆分：手制 [uv]	𲡺
拆分：扌厘 [fl]	𲡼
拆分：扌勃 [fb]	𲡽
拆分：扌夾 [fj]	𲡾
拆分：扌弗 [ff]	𲢀
拆分：扌冉 [fr]	𲢁
拆分：扌神 [fu]	𲢂
拆分：火手 [hu] | 手口 [uk]	𲢃
拆分：扌庠 [fx]	𲢄
拆分：扌厶 [fs]	𲢅
拆分：扌口 [fk]	𲢆
拆分：扌厝 [fc]	𲢈
拆分：扌唇 [fi]	𲢉
拆分：手罢 [ub]	𲢋
拆分：手骨 [ug]	𲢌
拆分：扌耸 [fs]	𲢍
拆分：扌家 [fj]	𲢏
拆分：扌責 [fz]	𲢕
拆分：吏拜 [lb]	𲢖
拆分：扌荷 [fh]	𲢙
拆分：扌乍 [fv]	𲢜
拆分：扌弓 [fg]	𲢞
拆分：扌庵 [fa]	𲢟
拆分：扌示 [fu]	𲢠
拆分：扌土 [ft]	𲢡
拆分：拧字 [nz]	𲢣
拆分：扌晏 [fy]	𲢥
拆分：扌萌 [fm]	𲢩
拆分：扌直 [fv]	𲢪
拆分：扌見 [fj]	𲢬
拆分：扌敞 [fi]	𲢮
拆分：扌丶 [fd]	𲢯
拆分：手手 [uu] | 扌手 [fu]	𲢰
拆分：合手 [hu] | 手合 [uh]	𲢱
拆分：手無 [uw]	𲢲
拆分：扌虫 [fi]	𲢴
拆分：扌亂 [fl]	𲢼
拆分：扌愛 [fa]	𲢽
拆分：扌丰 [ff]	𲢾
拆分：扌匕 [fb]	𲣁
拆分：扌廋 [fs]	𲣂
拆分：拙奉 [vf]	𲣅
拆分：扌离 [fl]	𲣆
拆分：扌蒼 [fc]	𲣇
拆分：扌裳 [fu]	𲣈
拆分：扌銀 [fy]	𲣌
拆分：扌侖 [fl]	𲣍
拆分：扌厲 [fl]	𲣏
拆分：扌兑 [fd]	𲣑
拆分：手丸 [uw] | 艹手 [cu]	𲣒
拆分：手論 [ul] | 論手 [lu]	𲣗
拆分：扌劈 [fp]	𲣙
拆分：扌熨 [fy]	𲣚
拆分：扌噲 [fk]	𲣝
拆分：扌獲 [fh]	𲣡
拆分：扌祭 [fj]	𲣢
拆分：扌賽 [fs]	𲣣
拆分：扌丿 [fp]	𲣥
拆分：扌囂 [fx]	𲣧
拆分：扌觀 [fg]	𲣩
拆分：令支 [lv] | 支令 [vl]	𲣪
拆分：支彡 [vp]	𲣫
拆分：兑支 [dv] | 支兑 [vd]	𲣬
拆分：攴子 [pz] | 丨攴 [ap]	𲣮
拆分：巴数 [bu]	𲣰
拆分：數巴 [ub]	𲣱
拆分：文尤 [wy]	𲣳
拆分：文臣 [wi]	𲣵
拆分：文尽 [wj]	𲣶
拆分：文閔 [wm]	𲣹
拆分：文盡 [wj]	𲣻
拆分：文林 [wl] | 臼文 [jw]	𲣼
拆分：斗古 [dg] | 古斗 [gd]	𲣽
拆分：斗更 [dg] | 更斗 [gd]	𲣾
拆分：斗非 [df] | 广斗 [gd]	𲣿
拆分：高斤 [gj] | 斤高 [jg]	𲤀
拆分：不断 [bd]	𲤁
拆分：方便 [fb]	𲤄
拆分：方一 [fa]	𲤅
拆分：方虎 [fh]	𲤆
拆分：方無 [fw]	𲤈
拆分：方罂 [fy]	𲤊
拆分：方罌 [fy]	𲤋
拆分：丆彡 [ap]	𲤌
拆分：丆夊 [aw]	𲤍
拆分：日土 [ot]	𲤏
拆分：日兮 [ox]	𲤐
拆分：日尺 [oi]	𲤑
拆分：日瓦 [ow]	𲤒
拆分：丕日 [po] | 日丕 [op]	𲤓
拆分：日亏 [ok]	𲤕
拆分：日斥 [oi]	𲤖
拆分：土时 [tu]	𲤘
拆分：日一 [oa]	𲤛
拆分：日表 [ob]	𲤞
拆分：日岸 [oa]	𲤟
拆分：日口 [ok]	𲤣
拆分：日耑 [od]	𲤥
拆分：祈日 [qo] | 日祈 [oq]	𲤪
拆分：日泰 [ot]	𲤬
拆分：日烈 [ol]	𲤭
拆分：日班 [ob]	𲤮
拆分：日多 [od] | 冂多 [kd]	𲤰
拆分：光明 [gm]	𲤱
拆分：日兼 [oj]	𲤲
拆分：是早 [uz]	𲤳
拆分：日堂 [ot]	𲤵
拆分：堯日 [yo] | 日堯 [oy]	𲤺
拆分：日勿 [ow] | 申勿 [uw]	𲤼
拆分：日最 [oz]	𲤽
拆分：星成 [xi]	𲤾
拆分：日登 [od]	𲥀
拆分：日萬 [ow]	𲥂
拆分：日當 [od]	𲥃
拆分：日微 [ow]	𲥄
拆分：日禽 [oq]	𲥅
拆分：日攵 [ow] | 是攵 [uw]	𲥋
拆分：日一 [oa]	𲥌
拆分：日亏 [ok]	𲥍
拆分：日囊 [on]	𲥐
拆分：更焦 [gj]	𲥕
拆分：支月 [vo] | 月支 [ov]	𲥘
拆分：月向 [ox]	𲥚
拆分：月全 [oq]	𲥛
拆分：月芳 [of]	𲥝
拆分：月征 [ov]	𲥠
拆分：月其 [oq]	𲥡
拆分：月海 [oh]	𲥢
拆分：章月 [vo] | 月章 [ov]	𲥣
拆分：月嗇 [os]	𲥥
拆分：月署 [ou]	𲥨
拆分：朋寂 [pj]	𲥩
拆分：月泰 [ot]	𲥫
拆分：月羊 [oy]	𲥬
拆分：月嚴 [oy]	𲥭
拆分：木十 [mu]	𲥮
拆分：木亍 [mi]	𲥯
拆分：木勿 [mw]	𲥱
拆分：木东 [md]	𲥲
拆分：木凡 [mf]	𲥳
拆分：木凸 [mt]	𲥴
拆分：木外 [mw]	𲥵
拆分：木权 [mq]	𲥷
拆分：有木 [ym] | 木有 [my]	𲥸
拆分：木至 [mv] | 至木 [vm]	𲥹
拆分：木匠 [mj]	𲥺
拆分：木分 [mf] | 冫木 [dm]	𲥻
拆分：木阝 [me]	𲥼
拆分：木又 [my] | 歹木 [dm]	𲥿
拆分：木夕 [mx] | 木木 [mm]	𲦁
拆分：木身 [mu]	𲦂
拆分：木杉 [mu] | 杉木 [um]	𲦃
拆分：木长 [mi]	𲦅
拆分：木木 [mm] | 木犬 [mq]	𲦆
拆分：木乚 [mg]	𲦊
拆分：木肥 [mf]	𲦋
拆分：木亅 [ma]	𲦌
拆分：木夾 [mj]	𲦍
拆分：木巷 [mx]	𲦎
拆分：木生 [mu]	𲦏
拆分：木双 [mu]	𲦐
拆分：木苔 [mt]	𲦒
拆分：木勉 [mm]	𲦓
拆分：木侣 [ml]	𲦕
拆分：木阁 [mg]	𲦖
拆分：木弯 [mw]	𲦗
拆分：木方 [mf]	𲦘
拆分：木禾 [mh]	𲦙
拆分：架户 [jh]	𲦚
拆分：木桓 [mh]	𲦛
拆分：木伐 [mf]	𲦜
拆分：杏杏 [xx]	𲦝
拆分：木笑 [mx]	𲦞
拆分：身木 [um] | 木阝 [me]	𲦟
拆分：木烜 [mx]	𲦡
拆分：木囱 [mc]	𲦢
拆分：木𦰩 [mh]	𲦤
拆分：木未 [mw]	𲦥
拆分：木彡 [mp]	𲦦
拆分：木木 [mm] | 木豆 [md]	𲦧
拆分：船木 [im] | 木船 [mi]	𲦩
拆分：木丿 [mp]	𲦪
拆分：木冉 [mr]	𲦫
拆分：木韩 [mh]	𲦭
拆分：木寸 [mc]	𲦮
拆分：木夯 [mh]	𲦯
拆分：木彭 [mp]	𲦰
拆分：敞木 [im] | 木敞 [mi]	𲦲
拆分：木亏 [mk]	𲦳
拆分：木奇 [mq]	𲦴
拆分：丿木 [pm] | 木二 [me]	𲦵
拆分：木乚 [mg]	𲦷
拆分：木干 [mg]	𲦹
拆分：林若 [lr]	𲦻
拆分：木募 [mm]	𲦽
拆分：木罩 [mv]	𲦾
拆分：木蒌 [ml]	𲦿
拆分：木田 [mt]	𲧀
拆分：木豕 [mu] | 豕木 [um]	𲧇
拆分：木关 [mg]	𲧊
拆分：木舌 [mu]	𲧋
拆分：木位 [mw]	𲧌
拆分：果羔 [gg]	𲧍
拆分：木舞 [mw]	𲧎
拆分：朱紫 [vz]	𲧏
拆分：漸木 [jm] | 木漸 [mj]	𲧓
拆分：木心 [mx]	𲧔
拆分：木箱 [mx]	𲧕
拆分：木單 [md]	𲧗
拆分：木囚 [mq]	𲧘
拆分：木篡 [mc]	𲧙
拆分：木謝 [mx]	𲧟
拆分：木賽 [ms]	𲧠
拆分：木額 [me]	𲧢
拆分：木過 [mg]	𲧣
拆分：木土 [mt]	𲧤
拆分：木轟 [mh]	𲧦
拆分：木聽 [mt]	𲧧
拆分：木焚 [mf]	𲧪
拆分：欠目 [qo] | 目欠 [oq]	𲧫
拆分：丨欠 [aq] | 欠八 [qb]	𲧭
拆分：𠂉欠 [rq] | 欠其 [qq]	𲧮
拆分：欠感 [qg] | 感欠 [gq]	𲧯
拆分：欠蕭 [qx] | 蕭欠 [xq]	𲧰
拆分：止口 [vk] | 口止 [kv]	𲧱
拆分：止剛 [vg]	𲧳
拆分：止一 [va] | 貝正 [bv]	𲧶
拆分：歹平 [dp]	𲧸
拆分：歹加 [dj]	𲧹
拆分：歹養 [dy]	𲧽
拆分：歹僉 [dq]	𲧾
拆分：歹靡 [dm]	𲧿
拆分：殳几 [uj] | 山殳 [uu]	𲨀
拆分：赤殳 [iu] | 殳赤 [ui]	𲨁
拆分：殳肉 [ur] | 爻殳 [yu]	𲨂
拆分：⺈比 [db] | 比丨 [ba]	𲨃
拆分：毛卜 [mb]	𲨄
拆分：毛王 [mw]	𲨇
拆分：勿毛 [wm] | 毛勿 [mw]	𲨈
拆分：毛如 [mr]	𲨊
拆分：毛殳 [mu] | 己毛 [jm]	𲨍
拆分：毛尾 [mw] | 尾毛 [wm]	𲨎
拆分：毛昔 [mx]	𲨏
拆分：毛晏 [my]	𲨑
拆分：左毛 [zm] | 毛有 [my]	𲨓
拆分：气土 [qt]	𲨔
拆分：气元 [qy]	𲨕
拆分：气公 [qg]	𲨖
拆分：气毛 [qm]	𲨗
拆分：气水 [qu]	𲨘
拆分：气尼 [qn]	𲨙
拆分：气自 [qz]	𲨛
拆分：气糸 [qs]	𲨜
拆分：气夋 [qj] | 气夂 [qw]	𲨝
拆分：气罗 [ql]	𲨟
拆分：气金 [qj]	𲨠
拆分：气育 [qy]	𲨡
拆分：气阿 [qa]	𲨢
拆分：气剋 [qk]	𲨣
拆分：气曷 [qh]	𲨤
拆分：气亲 [qq]	𲨥
拆分：气臭 [qi]	𲨦
拆分：气唐 [qt]	𲨧
拆分：气密 [qm]	𲨨
拆分：气紫 [qz]	𲨩
拆分：气心 [qx]	𲨫
拆分：气录 [ql]	𲨬
拆分：气養 [qy]	𲨭
拆分：气鮮 [qx]	𲨮
拆分：气羅 [ql]	𲨯
拆分：㇇丿 [ap]	𲨱
拆分：氵三 [ds]	𲨵
拆分：氵丈 [dv]	𲨶
拆分：氵匹 [dp]	𲨸
拆分：氵丐 [dg]	𲨹
拆分：水见 [uj]	𲨺
拆分：氵升 [du]	𲨼
拆分：水文 [uw]	𲨽
拆分：水至 [uv] | 至水 [vu]	𲩂
拆分：汁中 [vv]	𲩃
拆分：氵向 [dx]	𲩄
拆分：氵年 [dn]	𲩅
拆分：氵伎 [dj]	𲩆
拆分：氵竹 [dv]	𲩇
拆分：氵企 [dq]	𲩈
拆分：氵夕 [dx]	𲩉
拆分：水羽 [uy]	𲩊
拆分：氵贡 [dg]	𲩌
拆分：世求 [uq]	𲩍
拆分：氵皿 [dm]	𲩐
拆分：氵枕 [dv]	𲩔
拆分：氵顷 [dq]	𲩕
拆分：沣月 [fy] | 沣月 [fo]	𲩖
拆分：氵火 [dh]	𲩗
拆分：⺈水 [du] | 水人 [ur]	𲩜
拆分：氵亍 [di]	𲩝
拆分：氵占 [dv]	𲩡
拆分：泃分 [jf]	𲩥
拆分：氵看 [dk]	𲩦
拆分：氵丿 [dp]	𲩧
拆分：氵庠 [dx]	𲩪
拆分：氵紅 [dh]	𲩫
拆分：氵架 [dj]	𲩬
拆分：氵寺 [ds]	𲩯
拆分：卝水 [cu] | 水王 [uw]	𲩰
拆分：氵追 [dv]	𲩱
拆分：氵宴 [dy]	𲩳
拆分：氵回 [dh]	𲩶
拆分：氵禾 [dh]	𲩷
拆分：氵木 [dm]	𲩸
拆分：氵捽 [dz]	𲩹
拆分：浿少 [pu]	𲩻
拆分：氵凰 [dh]	𲩾
拆分：氵貧 [dp]	𲪀
拆分：氵衣 [dy]	𲪂
拆分：氵兆 [dv]	𲪃
拆分：氵菀 [dw]	𲪆
拆分：氵虫 [di]	𲪇
拆分：氵創 [di]	𲪈
拆分：氵口 [dk]	𲪋
拆分：氵皿 [dm]	𲪌
拆分：求密 [qm]	𲪍
拆分：氵皿 [dm]	𲪎
拆分：氵萱 [dx]	𲪏
拆分：氵镸 [di]	𲪐
拆分：氵林 [dl]	𲪑
拆分：氵愛 [da]	𲪒
拆分：氵数 [du]	𲪔
拆分：氵臭 [di]	𲪕
拆分：洱隹 [ev]	𲪗
拆分：氵碧 [db]	𲪘
拆分：氵米 [dm]	𲪙
拆分：氵熏 [dx]	𲪚
拆分：氵夐 [dx]	𲪛
拆分：氵余 [dy]	𲪠
拆分：氵輩 [db]	𲪢
拆分：溘色 [ks]	𲪦
拆分：消剋 [xk]	𲪧
拆分：氵馬 [dm]	𲪩
拆分：氵电 [dd]	𲪪
拆分：涼水 [lu] | 水水 [uu]	𲪫
拆分：氵遲 [di] | 水𠃊 [ua]	𲪬
拆分：氵貝 [db]	𲪭
拆分：氵壓 [dy]	𲪮
拆分：氵洛 [dl]	𲪱
拆分：氵幸 [dx]	𲪲
拆分：氵簏 [dl]	𲪳
拆分：氵氺 [du]	𲪴
拆分：涼頁 [ly]	𲪵
拆分：氵王 [dw]	𲪹
拆分：氵魚 [dy]	𲪻
拆分：氵竅 [dq]	𲪽
拆分：氵正 [dv]	𲪿
拆分：氵騰 [dt]	𲫃
拆分：氵籃 [dl]	𲫄
拆分：氵金 [dj]	𲫆
拆分：灬九 [hj] | 九灬 [jh]	𲫎
拆分：火下 [hx]	𲫏
拆分：火丶 [hd]	𲫑
拆分：水灬 [uh] | 灬水 [hu]	𲫒
拆分：火布 [hb]	𲫓
拆分：火世 [hu]	𲫔
拆分：火申 [hu]	𲫕
拆分：火丘 [hq]	𲫖
拆分：火曳 [hy]	𲫗
拆分：分灰 [fh]	𲫘
拆分：灬云 [hy] | 亻灬 [rh]	𲫙
拆分：火彡 [hp]	𲫜
拆分：灬犬 [hq] | 犭灬 [qh]	𲫞
拆分：火彡 [hp]	𲫟
拆分：灬佔 [hv] | 佔灬 [vh]	𲫠
拆分：火寸 [hc]	𲫡
拆分：灶火 [zh] | 火灶 [hz]	𲫤
拆分：木戈 [mg] | 戈火 [gh]	𲫦
拆分：招灬 [vh] | 灬招 [hv]	𲫧
拆分：火析 [hx]	𲫨
拆分：艹灬 [ch] | 灬毛 [hm]	𲫪
拆分：火帛 [hb]	𲫫
拆分：火火 [hh]	𲫭
拆分：火法 [hf]	𲫮
拆分：灬春 [hi] | 春灬 [ih]	𲫰
拆分：火昭 [hv]	𲫲
